company_name,city,county,type_rating,rout,website,check_job
@ home accommodation services ltd,london,,worker (a rating),skilled worker,,
001 times ltd,london,,worker (a rating),skilled worker,,
01 accounting services ltd,london,,worker (a rating),skilled worker,,
012 global ltd,london,,worker (a rating),skilled worker,,
0xa technologies ltd,london,,worker (a rating),skilled worker,,
100 shapes ltd,london,,worker (a rating),skilled worker,,
1000heads ltd,london,,worker (a rating),skilled worker,,
100starlings ltd,london,,worker (a rating),skilled worker,,
101 ways limited,london,,worker (a rating),skilled worker,,
10be5 ltd.,london,,worker (a rating),skilled worker,,
10x future technologies services ltd,london,,worker (a rating),skilled worker,,
11 berkeley street limited,london,,worker (a rating),skilled worker,,
11:fs group limited,london,,worker (a rating),skilled worker,,
114 gps ltd  t/a sushi atelier,london,,worker (a rating),skilled worker,,
11k consulting ltd,london,,worker (a rating),skilled worker,,
13th street hospitality ltd t/a sunday in brooklyn,london,,worker (a rating),skilled worker,,
14 promotions (trade) limited,london,,worker (a rating),skilled worker,,
1508 london limited,london,,worker (a rating),skilled worker,,
152 harley street limited,london,london,worker (a rating),skilled worker,,
16harleyco limited,london,,worker (a rating),skilled worker,,
17 capital services ltd,london,,worker (a rating),skilled worker,,
1783 limited,london,,worker (a rating),skilled worker,,
18 degrees below ltd,london,,worker (a rating),skilled worker,,
1854 media limited,london,,worker (a rating),skilled worker,,
18a charing cross dental surgery,london,,worker (a rating),skilled worker,,
1905 group limited t/a 1905,london,,worker (a rating),skilled worker,,
1oak capital limited,london,,worker (a rating),skilled worker,,
1ps group limited,london,,worker (a rating),skilled worker,,
1st class protection ltd,london,,worker (a rating),skilled worker,,
2 excel engineering limited,london,,worker (a rating),skilled worker,,
201 asian kitchen,london,,worker (a rating),skilled worker,,
21st amendment ltd,london,,worker (a rating),skilled worker,,
21st architecture ltd,london,,worker (a rating),skilled worker,,
21st club limited,london,,worker (a rating),skilled worker,,
24 seven uk limited,london,,worker (a rating),skilled worker,,
24haymarket limited,london,,worker (a rating),skilled worker,,
24sq limited,london,,worker (a rating),skilled worker,,
29forward ltd,london,,worker (a rating),skilled worker,,
2cv ltd,london,,worker (a rating),skilled worker,,
2e accountants ltd,london,london,worker (a rating),skilled worker,,
2r capital investment management limited,london,,worker (a rating),skilled worker,,
2s limited,london,,worker (a rating),skilled worker,,
3 copper pots limited,london,,worker (a rating),skilled worker,,
3 henrietta street limited,london,,worker (a rating),skilled worker,,
33seconds ltd,london,,worker (a rating),skilled worker,,
36 south capital advisors llp,london,,worker (a rating),skilled worker,,
360 health ltd,london,london,worker (a rating),skilled worker,,
360 leaders ltd,london,,worker (a rating),skilled worker,,
38 degrees,london,,worker (a rating),skilled worker,,
38 entertainment group ltd,london,,worker (a rating),skilled worker,,
3ak greenstreet limited,london,,worker (a rating),skilled worker,,
3ak london limited,london,,worker (a rating),skilled worker,,
3b digital ltd,london,,worker (a rating),skilled worker,,
3cs holdings plc,london,,worker (a rating),skilled worker,,
3d coffee (oadby) limited t/a costa coffee,london,,worker (a rating),skilled worker,,
3d industries ltd,london,,worker (a rating),skilled worker,,
3d innovations ltd.,london,,worker (a rating),skilled worker,,
3-d matrix uk limited,london,,worker (a rating),skilled worker,,
3d repo limited,london,,worker (a rating),skilled worker,,
3dc ltd,london,,worker (a rating),skilled worker,,
3dreid limited,london,,worker (a rating),skilled worker,,
3h partners limited t/a 3horizons,london,london,worker (a rating),skilled worker,,
3i constructions ltd,london,,worker (a rating),skilled worker,,
3i plc,london,,worker (a rating),skilled worker,,
3kobros limited,london,,worker (a rating),skilled worker,,
3rdi limited,london,,worker (a rating),skilled worker,,
3s money club limited,london,,worker (a rating),skilled worker,,
3search limited,london,,worker (a rating),skilled worker,,
4 seasons,london,,worker (a rating),skilled worker,,
415 palaette ltd,london,england,worker (a rating),skilled worker,,
4bio ventures management limited,london,,worker (a rating),skilled worker,,
4c associates ltd,london,,worker (a rating),skilled worker,,
4c hotels - minories llp,london,,worker (a rating),skilled worker,,
4c hotels victoria llp,london,,worker (a rating),skilled worker,,
4feet retail ltd,london,,worker (a rating),skilled worker,,
4m london limited,london,,worker (a rating),skilled worker,,
4most europe limited,london,,worker (a rating),skilled worker,,
4site recruitment limited,london,,worker (a rating),skilled worker,,
5 e ltd,london,,worker (a rating),skilled worker,,
5 hertford street,london,,worker (a rating),skilled worker,,
500 degrees herne hill ltd,london,,worker (a rating),skilled worker,,
515 capital limited,london,,worker (a rating),skilled worker,,
54 capital ltd,london,,worker (a rating),skilled worker,,
542 digital limited,london,,worker (a rating),skilled worker,,
59 productions,london,,worker (a rating),skilled worker,,
5app ltd,london,,worker (a rating),skilled worker,,
5axisworks ltd,london,,worker (a rating),skilled worker,,
6 bones limited trading as dirty bones,london,,worker (a rating),skilled worker,,
6 degrees global limited,london,,worker (a rating),skilled worker,,
6 till late ltd,london,,worker (a rating),skilled worker,,
"60 decibels, inc",london,,worker (a rating),skilled worker,,
64 computers ltd,london,middlesex,worker (a rating),skilled worker,,
65 equity partners management (uk) limited,london,,worker (a rating),skilled worker,,
66 north uk limited,london,greater london,worker (a rating),skilled worker,,
67 pall mall ltd,london,,worker (a rating),skilled worker,,
6a ltd.,london,greater london,worker (a rating),skilled worker,,
6sense insights uk ltd,london,,worker (a rating),skilled worker,,
7 sky spa ltd,london,england,worker (a rating),skilled worker,,
720 management limited,london,,worker (a rating),skilled worker,,
73 today ltd,london,,worker (a rating),skilled worker,,
77 diamonds limited,london,,worker (a rating),skilled worker,,
77agency ltd,london,greater london,worker (a rating),skilled worker,,
7ridge limited,london,,worker (a rating),skilled worker,,
8 hours ahead ltd,london,derbyshire,worker (a rating),skilled worker,,
85 piccadilly ltd,london,middlesex,worker (a rating),skilled worker,,
88 trading limited,london,,worker (a rating),skilled worker,,
89up ltd,london,,worker (a rating),skilled worker,,
8th light ltd,london,,worker (a rating),skilled worker,,
9 cuisines limited,london,,worker (a rating),skilled worker,,
93digital,london,,worker (a rating),skilled worker,,
9fin limited,london,,worker (a rating),skilled worker,,
a & a himallari ltd,london,,worker (a rating),skilled worker,,
a d williams & co ltd,london,,worker (a rating),skilled worker,,
a g & e s ltd,london,,worker (a rating),skilled worker,,
a g supply solutions ltd,london,,worker (a rating),skilled worker,,
a holt and sons ltd,london,,worker (a rating),skilled worker,,
a nelson & co ltd,london,,worker (a rating),skilled worker,,
a number of names limited,london,london,worker (a rating),skilled worker,,
a patel t/a mail boxes etc croydon,london,,worker (a rating),skilled worker,,
a r parmar ltd,london,,worker (a rating),skilled worker,,
a s roma uk branch,london,,worker (a rating),skilled worker,,
a t & c professional systems limited,london,,worker (a rating),skilled worker,,
a t kearney limited,london,,worker (a rating),skilled worker,,
a to e training and solutions ltd,london,,worker (a rating),skilled worker,,
a wong limited,london,,worker (a rating),skilled worker,,
a&a  associates (london) limited,london,,worker (a rating),skilled worker,,
a&d food retail ltd,london,,worker (a rating),skilled worker,,
a&f tutors,london,,worker (a rating),skilled worker,,
a&h pizza uk ltd t/a dominos pizza,london,,worker (a rating),skilled worker,,
"a&m capital advisors europe, llp",london,,worker (a rating),skilled worker,,
a&q partnership (london) ltd,london,,worker (a rating),skilled worker,,
a&s food and drink ltd,london,,worker (a rating),skilled worker,,
a&y london limited,london,united kingdom,worker (a rating),skilled worker,,
a. dakri and co limited trading as greenleafe hotel,london,,worker (a rating),skilled worker,,
a.b. hotels (the arch london) limited,london,,worker (a rating),skilled worker,,
a.c.t. london limited,london,,worker (a rating),skilled worker,,
a.h.p. medical supplies ltd,london,,worker (a rating),skilled worker,,
a.j. fairlee limited,london,,worker (a rating),skilled worker,,
a.l.o. physiotherapy clinic ltd,london,,worker (a rating),skilled worker,,
a.m. best europe rating service,london,,worker (a rating),skilled worker,,
a.m. nomikos & son (uk) ltd,london,,worker (a rating),skilled worker,,
a.m. qattan foundation,london,,worker (a rating),skilled worker,,
a.o.k kitchen (marylebone) limited,london,,worker (a rating),skilled worker,,
a.poortman (london) limited trading agt poortman,london,,worker (a rating),skilled worker,,
a.s. brill & co ltd,london,,worker (a rating),skilled worker,,
a.s.i. (research) limited,london,,worker (a rating),skilled worker,,
a.s.zanettos & co. ltd,london,,worker (a rating),skilled worker,,
a.williams & co. (solicitors),london,london,worker (a rating),skilled worker,,
a.z investements limited,london,,worker (a rating),skilled worker,,
a1 repair ltd,london,,worker (a rating),skilled worker,,
a1 woodgreen retail limited,london,,worker (a rating),skilled worker,,
a2z works limited,london,england,worker (a rating),skilled worker,,
a3d2 ltd,london,,worker (a rating),skilled worker,,
a3pro ltd,london,,worker (a rating),skilled worker,,
a4 trading limited t/a flora indica,london,,worker (a rating),skilled worker,,
aa & eva limited,london,,worker (a rating),skilled worker,,
aa access partnership ltd,london,,worker (a rating),skilled worker,,
aaa dentalab ltd,london,,worker (a rating),skilled worker,,
aadam foods limited  t/a western foods & wine express,london,,worker (a rating),skilled worker,,
aagsjp ltd,london,,worker (a rating),skilled worker,,
aalto capital llp,london,,worker (a rating),skilled worker,,
"aar international, inc.",london,,worker (a rating),skilled worker,,
aarani and aarujan ltd t/a bp,london,,worker (a rating),skilled worker,,
aares enterprise ltd,london,england,worker (a rating),skilled worker,,
aarete uk limited,london,,worker (a rating),skilled worker,,
aark tech solutions ltd,london,,worker (a rating),skilled worker,,
aaro capital limited,london,,worker (a rating),skilled worker,,
aarogya ltd,london,county (optional),worker (a rating),skilled worker,,
aaron & newton co ltd,london,,worker (a rating),skilled worker,,
aas mid-cap uk branch,london,,worker (a rating),skilled worker,,
