company_name,city,county,type_rating,rout,website,check_job
@ home accommodation services ltd,london,,worker (a rating),skilled worker,"https://uk.indeed.com/Accommodation-Services-jobs
",False
001 times ltd,london,,worker (a rating),skilled worker,"https://001ltd.co.uk/about/careers/
",False
01 accounting services ltd,london,,worker (a rating),skilled worker,"https://uk.indeed.com/01-Accounting-Services-jobs
",False
012 global ltd,london,,worker (a rating),skilled worker,"https://012-global.com/
",False
0xa technologies ltd,london,,worker (a rating),skilled worker,"https://angel.co/company/0xa-technologies/jobs
",False
100 shapes ltd,london,,worker (a rating),skilled worker,"https://100shapes.com/
",False
1000heads ltd,london,,worker (a rating),skilled worker,"https://1000heads.com/careers/
",False
100starlings ltd,london,,worker (a rating),skilled worker,"https://www.100starlings.com/career/
",False
101 ways limited,london,,worker (a rating),skilled worker,"https://www.101ways.com/careers/
",False
10be5 ltd.,london,,worker (a rating),skilled worker,"https://10be5.com/why-join-us/
",False
10x future technologies services ltd,london,,worker (a rating),skilled worker,"https://www.10xbanking.com/job-vacancies
",False
11 berkeley street limited,london,,worker (a rating),skilled worker,"https://www.berkeleygroup.co.uk/about-us/careers
",False
11:fs group limited,london,,worker (a rating),skilled worker,"https://www.11fs.com/careers
",False
114 gps ltd  t/a sushi atelier,london,,worker (a rating),skilled worker,"https://ukskilledworkfinder.com/employer/114-gps-ltd-t-a-sushi-atelier/
",False
11k consulting ltd,london,,worker (a rating),skilled worker,"https://uk.careerdp.com/?q=11k+consulting+ltd+jobs
",False
13th street hospitality ltd t/a sunday in brooklyn,london,,worker (a rating),skilled worker,"https://licensed-sponsors-uk.com/details/13th%20Street%20Hospitality%20Ltd%20t/a%20Sunday%20in%20Brooklyn
",False
14 promotions (trade) limited,london,,worker (a rating),skilled worker,"https://uk.indeed.com/14-Promotions-Trade-jobs
",True
1508 london limited,london,,worker (a rating),skilled worker,"https://1508london.com/
",False
152 harley street limited,london,london,worker (a rating),skilled worker,"https://www.152harleystreet.com/contact/careers/
",False
16harleyco limited,london,,worker (a rating),skilled worker,"https://www.harley-davidson.com/gb/en/about-us/careers.html
",False
17 capital services ltd,london,,worker (a rating),skilled worker,"https://www.17capital.com/
",False
1783 limited,london,,worker (a rating),skilled worker,"https://1783group.com/
",False
18 degrees below ltd,london,,worker (a rating),skilled worker,"https://www.linkedin.com/company/18-degrees-below-ltd
jobs/",False
1854 media limited,london,,worker (a rating),skilled worker,"https://www.1854.photography/1854-media-is-hiring-a-senior-marketing-manager/
",False
18a charing cross dental surgery,london,,worker (a rating),skilled worker,"https://www.cqc.org.uk/location/1-215610365
",False
